"PitfallID","CircleID","DateDeployed","TimeDeployed","DateCollected","TimeCollected","Notes","Checks"
1,"JMNP1","2022-05-01","11:49:00","2022-05-03","09:54:00",NA,1
2,"JMNP2","2022-05-01","11:26:00","2022-05-03","10:19:00",NA,1
3,"JMNP3","2022-05-01","11:12:00","2022-05-03","10:38:00",NA,1
4,"JMNP5","2022-05-01","10:46:00","2022-05-03","11:01:00",NA,1
5,"JMNP8","2022-05-01","10:20:00","2022-05-03","11:22:00",NA,1
6,"UNC3","2022-05-02","13:13:00","2022-05-04","11:34:00",NA,1
7,"UNC4","2022-05-02","12:39:00","2022-05-04","10:59:00",NA,1
8,"UNC8","2022-05-02","14:02:00","2022-05-04","10:51:00",NA,1
9,"UNC13","2022-05-02","14:08:00","2022-05-04","10:30:00",NA,1
10,"UNC14","2022-05-02","14:34:00","2022-05-04","10:06:00",NA,1
11,"JMNP1","2022-05-03","09:54:00","2022-05-05","10:38:00",NA,1
12,"JMNP2","2022-05-03","10:19:00","2022-05-05","10:11:00",NA,1
13,"JMNP3","2022-05-03","10:38:00","2022-05-05","10:01:00",NA,1
14,"JMNP5","2022-05-03","11:01:00","2022-05-05","09:32:00",NA,1
15,"JMNP8","2022-05-03","11:22:00","2022-05-05","09:11:00",NA,1
16,"UNC3","2022-05-04","11:34:00","2022-05-06","09:54:00",NA,1
17,"UNC4","2022-05-04","10:59:00","2022-05-06","09:59:00",NA,1
18,"UNC8","2022-05-04","10:51:00","2022-05-06","10:02:00",NA,1
19,"UNC13","2022-05-04","10:30:00","2022-05-06","10:25:00",NA,1
20,"UNC14","2022-05-04","10:06:00","2022-05-06","10:48:00",NA,1
21,"NCBG1","2022-05-08","10:17:00","2022-05-10","11:37:00",NA,1
22,"NCBG4","2022-05-08","10:36:00","2022-05-10","10:52:00",NA,1
23,"NCBG5","2022-05-08","11:01:00","2022-05-10","10:23:00",NA,1
24,"NCBG6","2022-05-08","11:14:00","2022-05-10","09:45:00",NA,1
25,"NCBG8","2022-05-08","11:36:00","2022-05-10","09:06:00",NA,NA
26,"NCBG1","2022-05-10","11:37:00","2022-05-12","09:05:00",NA,1
27,"NCBG4","2022-05-10","10:52:00","2022-05-12","09:25:00",NA,1
28,"NCBG5","2022-05-10","10:23:00","2022-05-12","09:42:00",NA,1
29,"NCBG6","2022-05-10","09:45:00","2022-05-12","09:56:00",NA,1
30,"NCBG8","2022-05-10","09:06:00","2022-05-12","10:12:00",NA,1
31,"ERSP1","2022-05-15","10:10:00","2022-05-17",NA,"Overturned",NA
32,"ERSP2","2022-05-15","10:32:00","2022-05-17","14:29:00",NA,1
33,"ERSP3","2022-05-15","10:47:00","2022-05-17","14:08:00",NA,1
34,"ERSP4","2022-05-15","11:04:00","2022-05-17","13:46:00",NA,1
35,"ERSP6","2022-05-15","11:17:00","2022-05-17","13:27:00",NA,1
36,"DF1","2022-05-16","11:08:00","2022-05-18","12:04:00",NA,1
37,"DF2","2022-05-16","11:31:00","2022-05-18","11:57:00",NA,1
38,"DF3","2022-05-16","11:48:00","2022-05-18","11:54:00",NA,1
39,"DF4","2022-05-16","12:01:00","2022-05-18","11:45:00",NA,1
40,"DF5","2022-05-16","12:24:00","2022-05-18","11:26:00",NA,1
41,"ERSP1","2022-05-17","13:00:00","2022-05-19","13:48:00",NA,1
42,"ERSP2","2022-05-17","14:29:00","2022-05-19","14:08:00",NA,1
43,"ERSP3","2022-05-17","14:08:00","2022-05-19","14:36:00",NA,1
44,"ERSP4","2022-05-17","13:46:00","2022-05-19","14:50:00",NA,1
45,"ERSP6","2022-05-17","13:27:00","2022-05-19","15:06:00",NA,1
46,"DF1","2022-05-18","12:04:00","2022-05-20","13:06:00",NA,1
47,"DF2","2022-05-18","11:57:00","2022-05-20","13:27:00",NA,1
48,"DF3","2022-05-18","11:54:00","2022-05-20","13:38:00",NA,1
49,"DF4","2022-05-18","11:45:00","2022-05-20","14:00:00",NA,1
50,"DF5","2022-05-18","11:26:00","2022-05-20","14:17:00",NA,1
51,"NCSU3","2022-05-22","10:06:00","2022-05-24","13:41:00",NA,1
52,"NCSU2","2022-05-22","10:18:00","2022-05-24","13:26:00",NA,1
53,"NCSU9","2022-05-22","11:15:00","2022-05-24","12:41:00",NA,1
54,"NCSU11","2022-05-22","11:33:00","2022-05-24","12:27:00",NA,1
55,"NCSU10","2022-05-22","11:54:00","2022-05-24","12:13:00",NA,1
56,"NCSU3","2022-05-24","13:41:00","2022-05-26","09:25:00",NA,1
57,"NCSU2","2022-05-24","13:26:00","2022-05-26","09:28:00",NA,1
58,"NCSU9","2022-05-24","12:41:00","2022-05-26","10:14:00",NA,1
59,"NCSU11","2022-05-24","12:27:00","2022-05-26","10:30:00",NA,1
60,"NCSU10","2022-05-24","12:13:00","2022-05-26","10:44:00",NA,1
61,"UNC14","2022-05-25","08:48:00","2022-05-27","13:41:00",NA,1
62,"UNC13","2022-05-25","09:26:00","2022-05-27","14:03:00",NA,1
