"BeatSheetID","TreeFK","Observer","Date","Time","WetLeaves","NumberOfLeaves","AverageLeafLength","Notes","Checks"
131091,"FEW","Indigo",2022-05-01,10:22:00,0,110,3,NA,NA
131092,"FEX","Indigo",2022-05-01,10:23:00,0,95,6,NA,NA
131093,"FEV","Indigo",2022-05-01,10:26:00,0,80,7,NA,1
131094,"FEZ","Indigo",2022-05-01,10:33:00,0,135,6,NA,1
131095,"FEY","Indigo",2022-05-01,10:37:00,0,60,7,NA,NA
131096,"FEJ","Indigo",2022-05-01,10:49:00,0,135,7,NA,NA
131097,"FEK","Indigo",2022-05-01,10:51:00,0,50,7,NA,1
131098,"FEG","Indigo",2022-05-01,10:55:00,0,25,8,NA,NA
131099,"FEH","Indigo",2022-05-01,10:58:00,0,50,7,NA,NA
131100,"FEI","Indigo",2022-05-01,11:02:00,0,60,7,NA,1
131101,"FDZ","Indigo",2022-05-01,11:12:00,0,30,9,NA,NA
131102,"FDY","Indigo",2022-05-01,11:14:00,0,45,7,NA,1
131103,"FDW","Indigo",2022-05-01,11:18:00,0,60,8,NA,NA
131104,"FDX","Indigo",2022-05-01,11:21:00,0,30,10,NA,NA
131105,"FEA","Indigo",2022-05-01,11:22:00,0,55,8,NA,NA
131106,"FDT","Indigo",2022-05-01,11:28:00,0,80,10,NA,1
131107,"FDR","Indigo",2022-05-01,11:32:00,0,25,9,NA,NA
131108,"FDS","Indigo",2022-05-01,11:33:00,0,100,6,NA,1
131109,"FDU","Indigo",2022-05-01,11:37:00,0,25,7,NA,1
131110,"FDV","Indigo",2022-05-01,11:43:00,0,60,8,NA,NA
131111,"FDN","Indigo",2022-05-01,11:51:00,0,65,6,NA,1
131112,"FDP","Indigo",2022-05-01,11:56:00,0,60,6,NA,1
131113,"FDQ","Indigo",2022-05-01,11:59:00,0,40,6,NA,NA
131114,"FDM","Indigo",2022-05-01,12:02:00,0,115,5,NA,1
131115,"FDO","Indigo",2022-05-01,12:07:00,0,90,7,NA,1
131125,"BWT","Indigo",2022-05-02,12:35:00,0,65,7,NA,NA
131126,"BWY","Indigo",2022-05-02,12:41:00,0,40,11,NA,1
131127,"BWX","Indigo",2022-05-02,12:44:00,0,70,12,NA,NA
131128,"BWZ","Indigo",2022-05-02,12:46:00,0,115,5,NA,1
131129,"BWW","Indigo",2022-05-02,12:53:00,0,65,6,NA,1
131130,"BWV","Indigo",2022-05-02,12:58:00,0,30,8,NA,1
131131,"BWS","Indigo",2022-05-02,13:00:00,0,55,10,NA,1
131132,"BWQ","Indigo",2022-05-02,13:04:00,0,60,9,NA,NA
131133,"BWU","Indigo",2022-05-02,13:06:00,0,70,11,NA,1
131134,"BWR","Indigo",2022-05-02,13:10:00,0,50,5,NA,1
131136,"BXQ","Indigo",2022-05-02,13:45:00,0,70,7,NA,1
131137,"BXT","Indigo",2022-05-02,13:48:00,1,65,7,NA,NA
131138,"BXS","Indigo",2022-05-02,13:49:00,0,120,7,NA,1
131139,"BXR","Indigo",2022-05-02,13:53:00,0,130,7,NA,1
131140,"BXP","Indigo",2022-05-02,13:56:00,0,30,8,NA,1
131141,"BYQ","Indigo",2022-05-02,14:06:00,0,95,8,NA,1
131142,"BYS","Indigo",2022-05-02,14:10:00,0,90,8,NA,1
131143,"BYR","Indigo",2022-05-02,14:13:00,0,25,5,NA,NA
131144,"BYP","Indigo",2022-05-02,14:15:00,0,90,8,NA,1
131145,"BYO","Indigo",2022-05-02,14:18:00,0,45,8,NA,NA
131146,"BYU","Indigo",2022-05-02,14:22:00,0,50,11,NA,NA
131147,"BYT","Indigo",2022-05-02,14:23:00,0,25,8,NA,NA
131148,"BYV","Indigo",2022-05-02,14:27:00,0,75,7,NA,1
131149,"BYW","Indigo",2022-05-02,14:29:00,0,35,9,NA,1
131150,"BYX","Indigo",2022-05-02,14:32:00,0,25,12,NA,NA
131151,"FDN","Indigo",2022-05-03,09:58:00,0,65,7,NA,1
131152,"FDP","Indigo",2022-05-03,10:03:00,0,65,6,NA,1
131153,"FDO","Indigo",2022-05-03,10:05:00,0,85,7,NA,1
131154,"FDQ","Indigo",2022-05-03,10:10:00,0,35,7,NA,1
131155,"FDM","Indigo",2022-05-03,10:12:00,0,125,6,NA,1
131156,"FDT","Indigo",2022-05-03,10:23:00,0,60,9,NA,NA
131157,"FDR","Indigo",2022-05-03,10:25:00,0,45,8,NA,1
131158,"FDU","Indigo",2022-05-03,10:27:00,0,30,7,NA,1
131159,"FDV","Indigo",2022-05-03,10:31:00,0,55,7,NA,NA
131160,"FDS","Indigo",2022-05-03,10:33:00,0,85,5,NA,1
131161,"FDZ","Indigo",2022-05-03,10:40:00,0,30,8,NA,1
131162,"FDY","Indigo",2022-05-03,10:43:00,0,55,8,NA,1
131163,"FEA","Indigo",2022-05-03,10:46:00,0,50,8,NA,1
131164,"FDW","Indigo",2022-05-03,10:52:00,0,60,8,NA,1
131165,"FDX","Indigo",2022-05-03,10:54:00,0,25,10,NA,1
131166,"FEH","Indigo",2022-05-03,11:05:00,0,40,7,NA,NA
131167,"FEI","Indigo",2022-05-03,11:06:00,0,55,8,NA,1
131168,"FEJ","Indigo",2022-05-03,11:10:00,0,95,8,NA,NA
131169,"FEG","Indigo",2022-05-03,11:11:00,0,30,8,NA,NA
131170,"FEK","Indigo",2022-05-03,11:13:00,0,30,7,NA,1
131172,"FEX","Indigo",2022-05-03,11:24:00,0,59,6,NA,NA
131173,"FEW","Indigo",2022-05-03,11:25:00,0,120,4,NA,NA
131174,"FEV","Indigo",2022-05-03,11:27:00,0,45,7,NA,1
131175,"FEZ","Indigo",2022-05-03,11:30:00,0,90,5,NA,1
131176,"FEY","Indigo",2022-05-03,11:33:00,0,45,8,NA,NA
131177,"BYW","Indigo",2022-05-04,10:08:00,0,35,8,NA,1
131178,"BYV","Indigo",2022-05-04,10:11:00,0,50,7,NA,1
131179,"BYT","Indigo",2022-05-04,10:14:00,0,60,9,NA,1
131180,"BYX","Indigo",2022-05-04,10:16:00,0,25,11,NA,1
131181,"BYU","Indigo",2022-05-04,10:19:00,0,50,10,NA,1
131182,"BYO","Indigo",2022-05-04,10:23:00,0,30,6,NA,NA
131183,"BYP","Indigo",2022-05-04,10:24:00,0,70,8,NA,1
131184,"BYQ","Indigo",2022-05-04,10:28:00,0,100,8,NA,1
131185,"BYS","Indigo",2022-05-04,10:35:00,0,65,7,NA,NA
131186,"BYR","Indigo",2022-05-04,10:36:00,0,20,6,NA,NA
131187,"BXP","Indigo",2022-05-04,10:39:00,0,40,9,NA,1
131188,"BXR","Indigo",2022-05-04,10:42:00,0,145,7,NA,1
131189,"BXS","Indigo",2022-05-04,10:46:00,0,190,7,NA,NA
131190,"BXT","Indigo",2022-05-04,10:47:00,0,140,8,NA,1
131191,"BXQ","Indigo",2022-05-04,10:50:00,0,65,8,NA,NA
131192,"BWY","Indigo",2022-05-04,11:08:00,0,40,11,NA,NA
131193,"BWZ","Indigo",2022-05-04,11:10:00,0,100,6,NA,1
131194,"BWX","Indigo",2022-05-04,11:16:00,0,20,13,NA,NA
131195,"BWV","Indigo",2022-05-04,11:17:00,0,40,8,NA,NA
131196,"BWW","Indigo",2022-05-04,11:19:00,0,75,7,NA,1
131197,"BWS","Indigo",2022-05-04,11:23:00,0,60,10,NA,1
131198,"BWQ","Indigo",2022-05-04,11:27:00,0,60,10,NA,NA
131199,"BWU","Indigo",2022-05-04,11:29:00,0,60,9,NA,NA
131200,"BWR","Indigo",2022-05-04,11:30:00,0,55,6,NA,NA
131201,"BWT","Indigo",2022-05-04,11:31:00,0,60,8,NA,NA
131202,"FEW","Indigo",2022-05-05,09:15:00,0,130,4,NA,NA
